# VehicleDB fuzzy match log
# Формат: score | нация/имя_в_статистике -> identifier_в_vehicles.json
# Чтобы исправить: добавьте запись в dataset/aliases.json:
#   { "нация/имя_в_статистике": "правильный_identifier" }

score=0.696 | Britain/TetrarchI -> uk_a17_mk_1_tetrarch
score=0.769 | Britain/A13MkII -> uk_a_13_mk1
score=0.783 | Britain/CRVBlock2 -> uk_boxer_crv_block2
score=0.727 | Britain/CromwellV -> uk_a27m_cromwell_1
score=0.800 | Britain/Concept3 -> uk_concept3_ngac
score=0.667 | Britain/Achilles -> uk_17_pdr_m10_achilles
score=0.800 | Britain/StuartI -> uk_m3_stuart
score=0.706 | Britain/StuartIII -> uk_m3_stuart
score=0.714 | Britain/CometI -> uk_a_34_comet
score=0.762 | Britain/CrusaderII -> uk_crusader_mk_2
score=0.727 | Britain/CrusaderIII -> uk_crusader_mk_2
score=0.727 | Britain/CromwellI -> uk_a27m_cromwell_1
score=0.714 | Britain/GunCarrier(3-in) -> uk_3_inch_gun_carrier
score=0.783 | Britain/ChurchillI -> uk_churchill_na75
score=0.800 | Britain/ChurchillVII -> uk_churchill_avre
score=0.818 | Britain/ValentineI -> uk_valentine_mk_1
score=0.783 | Britain/ValentineXI -> uk_valentine_mk_1
score=0.720 | Britain/ChurchillIII -> uk_churchill_na75
score=0.800 | Britain/Caernarvon -> uk_fv221_caernarvon
score=0.680 | Britain/G6 -> g_56
score=0.818 | Britain/Ystervark -> uk_ystervark_spaa
score=0.783 | Britain/ValentineIX -> uk_valentine_mk_1
score=0.667 | Britain/Conway -> uk_fv4004_conway
score=0.700 | Britain/Warrior -> uk_desert_warrior
score=0.769 | Britain/FV4030/3 -> uk_fv4005
score=0.667 | Britain/ShermanIC""Trzyniec -> uk_sherman_ic_firefly
score=0.783 | Britain/Swingfire -> uk_fv438_swingfire
score=0.818 | Britain/RooikatMk.1D -> uk_rooikat_mttd
score=0.667 | Britain/ZA-35 -> uk_9a35_m
score=0.737 | Britain/StormerAD -> uk_stormer_hvm
score=0.737 | Britain/Striker -> uk_fv102_striker
score=0.812 | Britain/ChurchillAVREPetard -> uk_churchill_avre
score=0.667 | Britain/TOGII -> uk_tog_2
score=0.786 | Britain/CromwellV(RP-3) -> uk_a27m_cromwell_5_rp3
score=0.714 | Britain/GrantI -> uk_mk1_grant
score=0.800 | Britain/MarkV -> uk_mark_v
score=0.667 | Britain/▄Osa-AK -> uk_bosvark
score=0.783 | Britain/SkySabre(TADS) -> uk_sky_sabre_fcs
score=0.750 | Britain/AlectoI -> uk_alecto_mk_1
score=0.812 | Britain/CometI""IronDukeIV -> uk_a_34_comet_iron_duke
score=0.750 | China/␗T-34-85(S-53) -> cn_t_34_85_d_5t
score=0.667 | China/␗T-26 -> cn_t_62
